user_id;name;email;birthday
1;Ádám;adam@valahol.hu;2014-01-06T23:00:00.000Z
2;Éva;eva@valahol.hu;2008-04-09T22:00:00.000Z
3;Bence;bence@valahol.hu;2010-06-15T23:00:00.000Z  
4;Csilla;csilla@valahol.hu;2009-09-03T23:00:00.000Z  
5;Dávid;david@valahol.hu;2012-02-28T23:00:00.000Z  
6;Eszter;eszter@valahol.hu;2011-07-21T23:00:00.000Z  
7;Feri;feri@valahol.hu;2007-11-18T23:00:00.000Z  
8;Gabi;gabi@valahol.hu;2013-03-12T23:00:00.000Z  
9;Hanna;hanna@valahol.hu;2006-01-25T23:00:00.000Z  
10;István;istvan@valahol.hu;2010-08-30T23:00:00.000Z  
11;Jázmin;jazmin@valahol.hu;2014-12-04T23:00:00.000Z  
12;Krisztián;krisztian@valahol.hu;2008-06-10T23:00:00.000Z  
13;Laura;laura@valahol.hu;2012-05-17T23:00:00.000Z  
14;Márk;mark@valahol.hu;2009-10-02T23:00:00.000Z  
15;Nóra;nora@valahol.hu;2007-12-19T23:00:00.000Z  
16;Olivér;oliver@valahol.hu;2011-01-07T23:00:00.000Z  
17;Petra;petra@valahol.hu;2013-09-28T23:00:00.000Z  
